make,car_model,depth,height,width,extra_depth,img_url
Peugeot,208 1.2 5DR HATCH 2020,67,75,96,130,
Peugeot,208 5DR HATCH 2020,73,81,99,152,
Peugeot,208 BLUEHDI 100 STOP&START ALLURE 5DR HATCH 2015,70,80,96,133,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3873_5338_0_5338.jpg?itok=U6-YXA-W
BMW,218D ACTIVE TOURER 5DR MPV 2018,83,75,100,160,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4157_5742_0_5742.jpg?itok=D3Nquq6b
BMW,218D GRAN TOURER LUXURY LINE STEPTRONIC 5DR MPV 2015,99,78,100,175,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3821_5299_0_5299.jpg?itok=TqDsSfzl
BMW,218I ACTIVE TOURER 5DR MPV 2018,83,75,100,160,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4166_5749_0_5749.jpg?itok=exbm9eJ-
BMW,218I GRAN COUPE 4DR COUPE 2020,95,44,100,171,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4462_6004_0_6004.jpg?itok=POdOdoVq
BMW,220D GRAN TOURER LUXURY LINE STEPTRONIC 5DR MPV 2016,32,76,100,99,
BMW,225I ACTIVE TOURER LUXURY LINE STEPTRONIC 5DR MPV 2014,77,75,101,160,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3815_5195_0_5195.jpg?itok=j_QCqvov
BMW,225XE5DR MPV 2017,82,74,101,157,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4023_5526_0_5526.jpg?itok=t-JSZCDN
BMW,228I CABRIO M SPORT STEPTRONIC 2DR CONVERTIBLE 2015,95,40,95,159,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3782_5277_0_5277.jpg?itok=kyNrlfyY
BMW,230I COUP̩ M SPORT STEPTRONIC 2DR COUPE 2018,91,47,94,153,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4114_5698_0_5698.jpg?itok=TWV6ZV-F
Mazda,3 SKYACTIV-D 5DR HATCH 2017,88,72,102,161,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4050_5631_0_5631.jpg?itok=ZepcJ9EG
Mazda,3 SKYACTIV-D 5DR HATCH 2019,84,70,100,151,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4341_5938_0_5938.jpg?itok=hz4EvXme
Mazda,3 SKYACTIV-G 2.0 M HYBRID 5DR HATCH 2020,84,70,100,151,
Mazda,3 SKYACTIV-G 5DR HATCH 2019,84,70,92,151,
Mazda,3 SKYACTIV-X 2.0 5DR HATCH 2019,84,70,100,151,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4340_5939_0_5939.JPG?itok=8gbuo27C
MINI,3-TURER COOPER XL 3DR HATCH 2020,58,64,100,124,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4489_6014_0_6014.jpg?itok=cT_YKGR6
Peugeot,3008 1.6 HYBRID 5DR SALOON 2020,78,70,99,152,
Peugeot,3008 5DR SALOON 2017,91,80,105,165,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4019_5564_0_5564.jpg?itok=DuI7eAgY
Peugeot,308 5DR HATCH 2019,80,76,85,147,
Peugeot,308 SW 2.0 BLUEHDI 180 GT EAT8 5DR ESTATE 2018,105,72,104,183,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4125_5685_0_5685.jpg?itok=t312afuX
BMW,318I TOURING5DR ESTATE 2016,98,70,93,178,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3939_5441_0_5441.jpg?itok=RKFlfxlR
BMW,320D 4DR SALOON 2019,100,50,96,175,
BMW,320D 5DR ESTATE 2020,100,71,95,175,
BMW,320D GRAN TURISMO LUXURY LINE STEPTRONIC 5DR HATCH 2016,102,69,94,191,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4006_5536_0_5536.jpg?itok=DPX0mBcf
BMW,320D LUXURY LINE STEPTRONIC 4DR SALOON 2016,98,50,75,180,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3932_5351_0_5351.jpg?itok=RVVxZbmh
BMW,320D TOURING 5DR ESTATE 2020,100,71,95,175,
BMW,320I 4DR SALOON 2017,98,50,75,98,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4082_5658_0_5658.jpg?itok=DENp1d4N
BMW,330E M SPORT 4DR SALOON 2020,96,47,96,177,
BMW,440I GRAN COUPE 5DR 2017,96,66,94,175,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4033_5620_0_5620.jpg?itok=gTKAZhKX
Fiat,500 0.9 8V TWINAIR TURBO START&STOPP LOUNGE 3DR HATCH 2016,53,89,101,116,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3938_5443_0_5443.jpg?itok=m-yG2gnn
Fiat,500 1.0 HYBRID 3DR HATCH 2020,53,89,101,116,
Peugeot,5008 5DR SALOON 2017,100,80,115,184,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4044_5603_0_5603.jpg?itok=7tCPwwj-
Fiat,500X 1.4 MULTIAIR START&STOPP LOUNGE 4X2 5DR SALOON 2015,75,73,96,145,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3894_5302_0_5302.jpg?itok=LHlZ_f3j
Fiat,500X 1.4 MULTIAIR START&STOPP LOUNGE 4X2 DCT 5DR SALOON 2018,75,83,91,144,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/4099_5681_0_5681.jpg?itok=0Nt98G_b
Fiat,500X 1.6 MULTIJET START STOP LOUNGE 4X2 5DR SALOON 2015,75,88,91,145,http://www.ridc.org.uk/sites/default/files/styles/lead_image_content_desktop/public/field/image/car/3844_5311_0_5311.jpg?itok=FutdVq44
